file_name,group_name,replicate
081213-Wittie-Phos-1A,a,
081213-Wittie-Phos-1B,a,
081213-Wittie-Phos-2A,a,
081213-Wittie-Phos-2B,a,
081213-Wittie-Phos-3A,a,
081213-Wittie-Phos-3B,a,
081213-Wittie-Phos-4A,a,
081213-Wittie-Phos-4B,a,
081213-Wittie-Phos-5A,a,
081213-Wittie-Phos-5B,a,
081313-Wittie-Phos-6A,a,
081313-Wittie-Phos-7A,a,
081313-Wittie-Phos-8A,a,
081313-Wittie-Phos-9A,a,
081313-Wittie-Phos-10A,a,
081413-Wittie-Phos-6B,a,
081413-Wittie-Phos-7B,a,
081413-Wittie-Phos-8B,a,
081413-Wittie-Phos-9B,a,
081413-Wittie-Phos-10B,a,
081413-Wittie-Phos-11A,a,
081413-Wittie-Phos-12A,a,
081512-Wittie-Phos-11B,a,
081512-Wittie-Phos-12B,a,
081512-Wittie-Phos-13A,a,
081513-Wittie-Phos-14A,a,
081513-Wittie-Phos-15A,a,
081513-Wittie-Phos-16A,a,
081513-Wittie-Phos-17A,a,
081513-Wittie-Phos-18A,a,
081612-Wittie-Phos-13B,a,
082213-Wittie-Phos-14B,a,
082213-Wittie-Phos-15B,a,
083113-Wittie-Phos-25A,a,
083113-Wittie-Phos-26A,a,
083113-Wittie-Phos-27A,a,
083113-Wittie-Phos-28A,a,
083113-Wittie-Phos-29A,a,
083113-Wittie-Phos-30A,a,
083113-Wittie-Phos-31A,a,
083113-Wittie-Phos-32A,a,
090113-Wittie-Phos-25B,a,
090113-Wittie-Phos-26B,a,
090113-Wittie-Phos-27B,a,
090113-Wittie-Phos-28B,a,
090113-Wittie-Phos-29B,a,
090113-Wittie-Phos-30B,a,
090213-Wittie-Phos-33A,a,
090213-Wittie-Phos-33B,a,
090213-Wittie-Phos-34A,a,
090213-Wittie-Phos-34B,a,
090313-Wittie-Phos-19A,a,
090313-Wittie-Phos-20A,a,
090313-Wittie-Phos-21A,a,
090313-Wittie-Phos-22A,a,
090313-Wittie-Phos-23A,a,
090313-Wittie-Phos-24A,a,
090313-Wittie-Phos-31B,a,
090313-Wittie-Phos-32B,a,
090313-Wittie-Phos-35A,a,
090313-Wittie-Phos-35B,a,
090313-Wittie-Phos-36A,a,
090313-Wittie-Phos-36B,a,
090413-Wittie-Phos-16B,a,
090413-Wittie-Phos-17B,a,
090413-Wittie-Phos-18B,a,
090413-Wittie-Phos-19B,a,
090413-Wittie-Phos-20B,a,
090413-Wittie-Phos-21B,a,
090413-Wittie-Phos-22B,a,
090413-Wittie-Phos-23B,a,
090413-Wittie-Phos-24B,a,
081213-Wittie-Phos-1A,a,
081213-Wittie-Phos-1B,a,
081213-Wittie-Phos-2A,a,
081213-Wittie-Phos-2B,a,
081213-Wittie-Phos-3A,a,
081213-Wittie-Phos-3B,a,
081213-Wittie-Phos-4A,a,
081213-Wittie-Phos-4B,a,
081213-Wittie-Phos-5A,a,
081213-Wittie-Phos-5B,a,
081313-Wittie-Phos-10A,a,
081313-Wittie-Phos-6A,a,
081313-Wittie-Phos-7A,a,
081313-Wittie-Phos-8A,a,
081313-Wittie-Phos-9A,a,
081413-Wittie-Phos-10B,a,
081413-Wittie-Phos-11A,a,
081413-Wittie-Phos-12A,a,
081413-Wittie-Phos-6B,a,
081413-Wittie-Phos-7B,a,
081413-Wittie-Phos-8B,a,
081413-Wittie-Phos-9B,a,
081512-Wittie-Phos-11B,a,
081512-Wittie-Phos-12B,a,
081512-Wittie-Phos-13A,a,
081513-Wittie-Phos-14A,a,
081513-Wittie-Phos-15A,a,
081513-Wittie-Phos-16A,a,
081513-Wittie-Phos-17A,a,
081513-Wittie-Phos-18A,a,
081612-Wittie-Phos-13B,a,
082213-Wittie-Phos-14B,a,
082213-Wittie-Phos-15B,a,
083113-Wittie-Phos-25A,a,
083113-Wittie-Phos-26A,a,
083113-Wittie-Phos-27A,a,
083113-Wittie-Phos-28A,a,
083113-Wittie-Phos-29A,a,
083113-Wittie-Phos-30A,a,
083113-Wittie-Phos-31A,a,
083113-Wittie-Phos-32A,a,
090113-Wittie-Phos-25B,a,
090113-Wittie-Phos-26B,a,
090113-Wittie-Phos-27B,a,
090113-Wittie-Phos-28B,a,
090113-Wittie-Phos-29B,a,
090113-Wittie-Phos-30B,a,
090213-Wittie-Phos-33A,a,
090213-Wittie-Phos-33B,a,
090213-Wittie-Phos-34A,a,
090213-Wittie-Phos-34B,a,
090313-Wittie-Phos-19A,a,
090313-Wittie-Phos-20A,a,
090313-Wittie-Phos-21A,a,
090313-Wittie-Phos-22A,a,
090313-Wittie-Phos-23A,a,
090313-Wittie-Phos-24A,a,
090313-Wittie-Phos-31B,a,
090313-Wittie-Phos-32B,a,
090313-Wittie-Phos-35A,a,
090313-Wittie-Phos-35B,a,
090313-Wittie-Phos-36A,a,
090313-Wittie-Phos-36B,a,
090413-Wittie-Phos-16B,a,
090413-Wittie-Phos-17B,a,
090413-Wittie-Phos-18B,a,
090413-Wittie-Phos-19B,a,
090413-Wittie-Phos-20B,a,
090413-Wittie-Phos-21B,a,
090413-Wittie-Phos-22B,a,
090413-Wittie-Phos-23B,a,
090413-Wittie-Phos-24B,a,
